time,5.0007.510.011,5.0007.610.011
0:00,12,14
0:01,8,10
0:02,11,14
0:03,13,7
0:04,16,8
0:05,13,9
0:06,17,12
0:07,12,6
0:08,13,11
0:09,9,7
0:10,4,14
0:11,16,10
0:12,10,15
0:13,13,12
0:14,14,10
0:15,16,10
0:16,9,12
0:17,16,6
0:18,12,11
0:19,9,11
0:20,6,14
0:21,13,20
0:22,10,7
0:23,6,12
0:24,15,6
0:25,12,8
0:26,12,5
0:27,12,13
0:28,5,14
0:29,9,14
0:30,12,13
0:31,8,4
0:32,4,9
0:33,17,9
0:34,7,12
0:35,11,16
0:36,9,14
0:37,13,8
0:38,10,8
0:39,13,12
0:40,8,12
0:41,11,11
0:42,8,14
0:43,8,8
0:44,12,9
0:45,10,9
0:46,14,11
0:47,11,13
0:48,14,10
0:49,10,12
0:50,11,11
0:51,9,17
0:52,13,11
0:53,13,12
0:54,3,17
0:55,15,5
0:56,6,14
0:57,15,8
0:58,4,8
0:59,14,12
1:00,0,0
