time,5.0007.510.011,5.0007.610.011
0:00,17,11
0:01,14,13
0:02,7,17
0:03,23,5
0:04,13,16
0:05,22,13
0:06,13,19
0:07,12,15
0:08,13,9
0:09,13,10
0:10,13,14
0:11,15,18
0:12,17,16
0:13,15,12
0:14,12,17
0:15,13,15
0:16,17,13
0:17,18,13
0:18,15,18
0:19,13,9
0:20,13,13
0:21,14,13
0:22,16,13
0:23,17,15
0:24,14,17
0:25,15,11
0:26,16,18
0:27,17,12
0:28,14,11
0:29,13,19
0:30,16,20
0:31,11,13
0:32,16,13
0:33,17,11
0:34,18,15
0:35,15,10
0:36,16,18
0:37,10,9
0:38,16,15
0:39,12,27
0:40,20,14
0:41,16,11
0:42,24,13
0:43,13,20
0:44,17,19
0:45,10,16
0:46,17,12
0:47,5,13
0:48,8,14
0:49,21,12
0:50,15,6
0:51,19,18
0:52,15,14
0:53,18,24
0:54,17,15
0:55,14,14
0:56,8,19
0:57,9,11
0:58,25,17
0:59,12,10
1:00,0,0
